"Sección","Dónde aparece","Actual","A · Umbral","B · Camino","C · Búsqueda","Otro (tu versión)","Nota"
"Entrada","Header / botón principal","Ingresar","Entrar","Retomar mi camino","Reencontrarme","",""
"Entrada","Header / registro","Registrarse","Comenzar","Dar el primer paso","Iniciar la búsqueda","",""
"Entrada","Header / cuenta","Cerrar sesión","Salir","Volver otro día","Cerrar por hoy","","funcional: priorizar claridad"
"Entrada","Header / a su espacio","Mi perfil","Mi espacio","Mi recorrido","Mi bitácora","",""
"Entrada","Formularios / atrás","Volver","Atrás","Volver un paso","Regresar","",""
"Ingreso","Panel paciente / título","Soy paciente","Vengo a cuidarme","Busco mi bienestar","Estoy en búsqueda","",""
"Ingreso","Panel paciente / subtítulo","Accedo a mi espacio de bienestar","Entro a mi espacio","Continúo mi camino de bienestar","Vuelvo a mi lugar de encuentro","",""
"Ingreso","Frase (usuario nuevo)","Aquí comienza tu viaje","Todo empieza con una pausa","Acá empieza tu camino","Toda búsqueda empieza por dentro","",""
"Ingreso","Frase (usuario que vuelve)","Continuás tu recorrido","Volvés a tu espacio","Seguís tu camino","Retomás tu búsqueda","",""
"Ingreso","Pie / registro","¿Sin cuenta?","¿Primera vez?","¿Recién empezás?","¿Todavía buscando?","",""
"Ingreso","Pie / recuperación","¿Olvidó su contraseña?","¿Olvidaste la llave?","¿Perdiste el acceso?","¿No recordás tu clave?","","funcional: priorizar claridad"
"Ingreso","Botón enviar (idle / cargando)","Ingresar / Validando…","Entrar / Abriendo…","Seguir / Un momento…","Reencontrarme / Buscando…","",""
"Registro","Elección de rol / título","Quiero encontrar un profesional","Busco quien me acompañe","Quiero empezar a cuidarme","Busco un encuentro","",""
"Registro","Elección de rol / subtítulo","Creo mi cuenta como paciente","Abro mi espacio","Doy el primer paso","Empiezo mi búsqueda","",""
"Registro","Elección de rol / frase","Tu bienestar comienza con un paso","Basta un gesto para empezar","Todo camino empieza con un paso","El bienestar empieza por buscarlo","",""
"Registro","Elección de rol / botón","Crear cuenta","Comenzar","Empezar el camino","Iniciar la búsqueda","",""
"Registro","Formulario / título","Crea tu cuenta","Abrí tu espacio","Empezá tu camino","Abrí tu bitácora","",""
"Registro","Formulario / botón enviar (idle / cargando)","Crear cuenta y avanzar / Procesando…","Entrar a mi espacio / Abriendo…","Dar el primer paso / Un momento…","Comenzar la búsqueda / Buscando…","",""
"Espacio /mi","Bienvenida","Hola, {nombre}","Te esperábamos, {nombre}","Qué bueno verte, {nombre}","Otra vez acá, {nombre}","","género: hoy en el header dice ""Bienvenida"" (femenino); estas 3 son neutras — recomiendo cambiar"
"Espacio /mi","Subtítulo inicio","Este es tu espacio de bienestar","Tu espacio, en calma","Acá sigue tu camino","Tu lugar de encuentro","",""
"Espacio /mi","Botón a perfil","Editar perfil","Mis datos","Mi historia","Mi bitácora","",""
"Espacio /mi","Sección próxima cita","Tu próximo turno","Lo que viene","Tu próximo encuentro","Tu próxima cita contigo","",""
"Espacio /mi","Agenda vacía","No tenés citas programadas","Todo en calma por ahora","Tu agenda está despejada","Aún no hay un próximo encuentro","",""
"Espacio /mi","Botón agendar","Agendar","Reservar un momento","Agendar un encuentro","Buscar un espacio","",""
"Comunicados","Aviso post-reserva","Cita creada con éxito. El proceso de atención continúa.","Listo. Tu momento quedó reservado.","Tu encuentro quedó agendado. El camino sigue.","Reservado. Un paso más en tu búsqueda.","",""
"Comunicados","Email / bajada","Seguí tu cita, pagos y recordatorios en tu espacio","Todo tu proceso, en un solo lugar.","Seguí tu camino desde tu espacio.","Tu recorrido, siempre a mano.","",""
"Comunicados","Email / enlace","Ingresá a tu espacio →","Entrar a mi espacio →","Volver a mi camino →","Ir a mi espacio →","",""
"Comunicados","Instalar app / texto","Instalá la app para tener tu espacio a mano.","Llevá tu espacio con vos.","Tu camino, siempre cerca.","Tu bitácora, a un toque.","",""
"Comunicados","Instalar app / botón","Instalar app","Instalar","Llevar la app conmigo","Sumar a mi inicio","",""
"Comunicados","Notificaciones / texto","Activá las notificaciones para recibir recordatorios de tus citas.","Que no se te pase ningún momento.","Te avisamos antes de cada encuentro.","Un recordatorio suave antes de cada cita.","",""
"Comunicados","Notificaciones / botón","Activar recordatorios","Activar avisos","Que me acompañe con recordatorios","Recibir recordatorios","",""
"Comunicados","Correo verificado","Correo verificado con éxito","Tu correo quedó confirmado.","Listo, ya estás en el camino.","Verificado. Puede comenzar tu búsqueda.","","funcional: priorizar claridad"
